names	celltype
PZ-MB-gastd6-TChIC-rep1-H3K4me3-1_29	NeuralTube_Somites
PZ-MB-gastd6-TChIC-rep1-H3K4me3-2_29	Tailbud
PZ-MB-gastd6-TChIC-rep1-H3K4me3-3_29	Somite_wavefront
PZ-MB-gastd7-TChIC-rep1-H3K4me3-2_29	Neural_tube_2
PZ-MB-gastd7-TChIC-rep1-H3K4me3-3_29	0
PZ-MB-gastd5-TCHIC-rep1-H3K27ac-1_184	12
PZ-MB-gastd5-TCHIC-rep1-H3K4me1-1_184	Mesoderm_heart
PZ-MB-gastd5-TCHIC-rep1-H3K4me3-4_184	Mesoderm_heart
PZ-MB-gastd5-TCHIC-rep1-H3K27me3-1_184	Somite_wavefront
PZ-MB-gastd6-TCHIC-rep1-H3K27me3-1_184	10
PZ-MB-gastd7-TCHIC-rep1-H3K27me3-4_184	Tailbud
PZ-MB-gastd5-TChIC-rep1-H3K27me3-2_184	0
PZ-MB-gastd5-TChIC-rep1-H3K27me3-3_184	0
PZ-MB-gastd5-TChIC-rep1-H3K27me3-4_184	0
PZ-MB-gastd6-TChIC-rep1-H3K27me3-2_184	3
PZ-MB-gastd6-TChIC-rep1-H3K27me3-3_184	Somite_wavefront
PZ-MB-gastd6-TChIC-rep1-H3K27me3-4_184	3
PZ-MB-gastd7-TChIC-rep1-H3K27me3-2_184	2
PZ-MB-gastd7-TChIC-rep1-H3K27me3-3_184	12
PZ-MB-gastd5-TChIC-rep1-H3K4me3-2_184	0
PZ-MB-gastd5-TChIC-rep1-H3K4me3-3_184	Mesoderm_heart
PZ-MB-gastd6-TChIC-rep1-H3K4me3-1_184	Neural_tube_2
PZ-MB-gastd6-TChIC-rep1-H3K4me3-2_184	0
PZ-MB-gastd6-TChIC-rep1-H3K4me3-3_184	Mesoderm_heart
PZ-MB-gastd6-TChIC-rep1-H3K4me3-4_184	0
PZ-MB-gastd7-TChIC-rep1-H3K4me3-1_184	Mesoderm_heart
PZ-MB-gastd7-TChIC-rep1-H3K4me3-3_184	Somite_wavefront
PZ-MB-gastd7-TChIC-rep1-H3K4me3-4_184	3
PZ-MB-gastd5-TCHIC-rep1-H3K27ac-1_228	0
PZ-MB-gastd5-TCHIC-rep1-H3K4me1-1_228	Tailbud
PZ-MB-gastd5-TCHIC-rep1-H3K4me3-4_228	0
PZ-MB-gastd5-TCHIC-rep1-H3K27me3-1_228	0
PZ-MB-gastd6-TCHIC-rep1-H3K27me3-1_228	2
PZ-MB-gastd7-TCHIC-rep1-H3K27me3-4_228	NeuralTube_Somites
PZ-MB-gastd5-TChIC-rep1-H3K27me3-2_228	Mesoderm_heart
PZ-MB-gastd5-TChIC-rep1-H3K27me3-3_228	0
PZ-MB-gastd5-TChIC-rep1-H3K27me3-4_228	0
PZ-MB-gastd6-TChIC-rep1-H3K27me3-2_228	Mesoderm_heart
PZ-MB-gastd6-TChIC-rep1-H3K27me3-3_228	2
PZ-MB-gastd6-TChIC-rep1-H3K27me3-4_228	2
PZ-MB-gastd7-TChIC-rep1-H3K27me3-1_228	NeuralTube_Somites
PZ-MB-gastd7-TChIC-rep1-H3K27me3-2_228	Somite_wavefront
PZ-MB-gastd7-TChIC-rep1-H3K27me3-3_228	2
PZ-MB-gastd5-TChIC-rep1-H3K4me3-2_228	Mesoderm_heart
PZ-MB-gastd5-TChIC-rep1-H3K4me3-3_228	10
PZ-MB-gastd6-TChIC-rep1-H3K4me3-1_228	Mesoderm_heart
PZ-MB-gastd6-TChIC-rep1-H3K4me3-2_228	2
PZ-MB-gastd6-TChIC-rep1-H3K4me3-3_228	0
PZ-MB-gastd6-TChIC-rep1-H3K4me3-4_228	Mesoderm_heart
PZ-MB-gastd7-TChIC-rep1-H3K4me3-1_228	NeuralTube_Somites
PZ-MB-gastd7-TChIC-rep1-H3K4me3-2_228	Mesoderm_heart
PZ-MB-gastd7-TChIC-rep1-H3K4me3-3_228	3
PZ-MB-gastd7-TChIC-rep1-H3K4me3-4_228	Somite_wavefront
