	NeuralTube_Somites_n	NeuralTube_Somites_p	NeuralTube_Somites_s
28947	Dtymk	3.315354355496739e-52	-15.483154
28946	Eif1ax	6.922900760066247e-52	-15.435563
28945	Slc9a3r1	7.391898591863947e-52	-15.431171
148	AC149090.1	9.06264339564747e-52	15.417853
28944	Oaz1	9.222232150731188e-52	-15.416565
28943	Eif3g	9.595020995572838e-52	-15.413844
28942	Eif3h	9.975495406051286e-52	-15.411171
28941	Hnrnpa3	1.2501003556249559e-51	-15.3964205
28940	Tk1	1.4940607167366536e-51	-15.384726
28939	Cdk2	2.686594488407174e-51	-15.346539
28938	Psmd3	4.276890254664237e-51	-15.316179
28937	Prpf19	4.3582173205438936e-51	-15.314795
149	Thsd7a	6.435376407691764e-51	15.289113
28936	Asns	6.435376407691764e-51	-15.289256
150	Jmjd1c	6.58169369099203e-51	15.287491
151	Rc3h2	7.221855099091153e-51	15.281285
28935	Mrpl13	7.316049795832272e-51	-15.280282
28934	Psma6	7.598387229910749e-51	-15.2776575
28933	Stoml2	8.084619052806668e-51	-15.273457
28932	Mcm10	8.564168889202352e-51	-15.269542
152	Tet2	1.102074893389442e-50	15.252931
28931	Snrpd1	1.3422286921326739e-50	-15.239899
153	Kidins220	1.6025484522422436e-50	15.228156
154	Prmt8	1.7425293979246515e-50	15.222524
155	Snhg11	1.9239359119734882e-50	15.215888
28930	Gdi2	2.2369916463460904e-50	-15.205864
156	Spock2	2.2744021939413455e-50	15.204623
28929	Nop2	2.275663255989353e-50	-15.2044325
28928	Pcbp2	2.515991298734162e-50	-15.197701
157	Chrna3	2.703694376986807e-50	15.192833
158	Stox2	2.7111496738163744e-50	15.192498
28927	Nedd8	7.116545444535388e-50	-15.128963
28926	Eif4a1	7.214153234590974e-50	-15.127913
159	Map3k13	7.255023944612403e-50	15.127388
160	Ireb2	7.919136888207819e-50	15.1214695
28925	Rbmxl1	8.01618975748542e-50	-15.120515
161	Enah	8.630075706799584e-50	15.115502
28924	Ccnd3	1.2794278906328268e-49	-15.089392
162	Cd47	1.735614028440852e-49	15.069104
28923	Cox6c	1.7849783717468207e-49	-15.0671
28922	Actn1	2.416866770979746e-49	-15.046907
28921	Odc1	2.453460047225301e-49	-15.045762
28920	Dkc1	2.600761015675903e-49	-15.041753
28919	Top2a	3.001633072894994e-49	-15.03211
163	Arl8a	3.310309695976168e-49	15.0254755
28918	Nudcd2	3.3822737954839583e-49	-15.0239
164	Asxl3	4.008341574119092e-49	15.012491
165	Ap2b1	5.129594438133579e-49	14.9959755
28917	Cox7c	5.468004187115284e-49	-14.991584
28916	Anp32a	7.345199780802653e-49	-14.971822
166	Pax2	9.134657649597468e-49	14.957167
167	Rgs8	9.173282901341568e-49	14.9567375
28915	Atp5g1	9.33179069622044e-49	-14.955448
28914	Hes5	1.623152035000557e-48	-14.9184065
28913	Uqcrh	2.2452202315156437e-48	-14.896591
168	Zfp292	2.3467017669197833e-48	14.893489
169	Greb1l	2.468569814470567e-48	14.889956
28912	Uqcr10	2.79880774095926e-48	-14.881412
170	Cotl1	3.070602443601623e-48	14.875063
171	Lrrn1	3.264633237406214e-48	14.870815
172	Stmn3	4.60865258250512e-48	14.8475685
28911	Vcp	5.127654817407164e-48	-14.840264
28910	Pcbp1	5.840301780125846e-48	-14.831386
28909	Eftud2	6.506546451676191e-48	-14.823987
173	Med13	6.613529843058939e-48	14.822746
174	Nsd1	9.615049363052654e-48	14.797447
175	Prrc2b	1.111954286921295e-47	14.787518
28908	U2af1	1.4138731233552984e-47	-14.771193
28907	Gm10073	2.225217702362085e-47	-14.740452
176	Lrp1	2.231456127093745e-47	14.740117
28906	Psmb6	3.1208739543773394e-47	-14.7173
177	Elavl2	3.1943357711096454e-47	14.715582
178	Zfhx2	4.0398285308473434e-47	14.6994
28905	Tceal8	4.0398285308473434e-47	-14.699543
179	Birc6	4.612034767297331e-47	14.690283
28904	Grb10	4.743796288023477e-47	-14.68823
180	Daam1	5.011658183338166e-47	14.684363
28903	Ncapd2	5.264854682757299e-47	-14.680879
181	Camsap2	5.339530089912458e-47	14.679781
28902	Clns1a	6.603736904078948e-47	-14.665222
28901	Snrpa	8.927492210449118e-47	-14.644601
28900	Gmnn	9.430214797021235e-47	-14.640734
28899	Psma1	9.456890772102979e-47	-14.6404
28898	Txnl1	1.2303504269218495e-46	-14.622356
