index,pseudotime,pseudotime2
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_78,32.30474,16.500824
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_58,31.603209,15.709378
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_265,29.98909,13.405607
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_41,33.77916,18.614908
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_266,32.31204,16.516628
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_240,32.328484,17.22866
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_241,12.564146,16.908056
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_348,33.207527,18.41165
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_370,26.565065,10.94954
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_360,33.235878,18.016205
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_76,34.010094,19.566193
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_374,28.747427,12.007797
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_46,33.46396,18.378721
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_299,31.176615,15.357804
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_205,32.54364,17.52741
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_23,32.52899,17.464285
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_271,32.15229,16.489168
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_184,30.286491,14.150638
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_24,11.19769,18.08823
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_196,29.829689,13.319879
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_12,11.399347,17.866468
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_228,29.75061,13.378213
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_44,34.82641,21.475298
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_47,33.47905,18.679173
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_207,32.656837,17.460438
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_268,31.102749,15.122886
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_372,33.085842,17.955402
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_37,31.99402,16.6122
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_119,31.101624,15.495527
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_173,29.708586,13.157034
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_150,33.22269,18.182596
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_29,26.836697,10.219644
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_262,29.953272,13.623379
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_347,31.440485,15.32254
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_91,33.82182,19.374147
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_83,34.26463,19.501854
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_148,71.14029,67.78174
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_200,30.395592,14.176422
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_6,33.44248,18.489197
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_166,30.855843,13.95366
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_71,31.40094,15.389702
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_341,33.136425,17.705536
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_94,30.407969,14.27037
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-2_64,29.861938,13.815151
